name,slug,value,date_of_information,ranking,region
"Antigua and Barbuda","antigua-and-barbuda","107,154,000.0","2019 est.","52","Central America and the Caribbean"
"Libya","libya","107,118,000.0","2019 est.","53","Africa"
"China","china","105,687,000.0","2019 est.","54","East and Southeast Asia"
"Bulgaria","bulgaria","103,924,000.0","2019 est.","55","Europe"
"Belarus","belarus","102,558,000.0","2019 est.","56","Europe"
"Portugal","portugal","101,734,000.0","2019 est.","57","Europe"
"Lithuania","lithuania","101,651,000.0","2019 est.","58","Europe"
"Bhutan","bhutan","100,135,000.0","2019 est.","59","South Asia"
"Panama","panama","98,946,000.0","2019 est.","60","Central America and the Caribbean"
"South Africa","south-africa","98,474,000.0","2019 est.","61","Africa"
"Serbia","serbia","98,195,000.0","2019 est.","62","Europe"
"Puerto Rico","puerto-rico","94,379,000.0","2019 est.","63","Central America and the Caribbean"
"Croatia","croatia","89,733,000.0","2019 est.","64","Europe"
"American Samoa","american-samoa","88,796,000.0","2019 est.","65","Australia and Oceania"
"Latvia","latvia","86,645,000.0","2019 est.","66","Europe"
"Venezuela","venezuela","85,829,000.0","2019 est.","67","South America"
"Barbados","barbados","83,723,000.0","2019 est.","68","Central America and the Caribbean"
"Mongolia","mongolia","83,045,000.0","2019 est.","69","East and Southeast Asia"
"Ukraine","ukraine","82,571,000.0","2019 est.","70","Europe"
"Suriname","suriname","82,356,000.0","2019 est.","71","South America"
"Chile","chile","81,953,000.0","2019 est.","72","South America"
"Macau","macau","81,407,000.0","2019 est.","73","East and Southeast Asia"
"British Virgin Islands","british-virgin-islands","80,136,000.0","2019 est.","74","Central America and the Caribbean"
"Mauritius","mauritius","79,448,000.0","2019 est.","75","Africa"
"Turkey (Turkiye)","turkey-turkiye","79,126,000.0","2019 est.","76","Middle East"
"Argentina","argentina","79,083,000.0","2019 est.","77","South America"
"Montenegro","montenegro","77,286,000.0","2019 est.","78","Europe"
"Thailand","thailand","76,714,000.0","2019 est.","79","East and Southeast Asia"
"Estonia","estonia","76,329,000.0","2019 est.","80","Europe"
"Laos","laos","73,187,000.0","2019 est.","81","East and Southeast Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","71,960,000.0","2019 est.","82","Central America and the Caribbean"
"Bosnia and Herzegovina","bosnia-and-herzegovina","71,815,000.0","2019 est.","83","Europe"
"Romania","romania","71,736,000.0","2019 est.","84","Europe"
"Uruguay","uruguay","66,909,000.0","2019 est.","85","South America"
"Azerbaijan","azerbaijan","64,416,000.0","2019 est.","86","Middle East"
"Georgia","georgia","63,286,000.0","2019 est.","87","Middle East"
"Iraq","iraq","63,174,000.0","2019 est.","88","Middle East"
"Paraguay","paraguay","62,775,000.0","2019 est.","89","South America"
"Mexico","mexico","61,597,000.0","2019 est.","90","North America"
"Algeria","algeria","61,433,000.0","2019 est.","91","Africa"
"Maldives","maldives","59,690,000.0","2019 est.","92","South Asia"
"Brazil","brazil","59,444,000.0","2019 est.","93","South America"
"Uzbekistan","uzbekistan","57,709,000.0","2019 est.","94","Central Asia"
"Equatorial Guinea","equatorial-guinea","57,596,000.0","2019 est.","95","Africa"
