name,slug,value,date_of_information,ranking,region
"Seychelles","seychelles","0.00","2018 est.","164","Africa"
"Sierra Leone","sierra-leone","0.00","2018 est.","165","Africa"
"Singapore","singapore","0.00","2018 est.","166","East and Southeast Asia"
"Solomon Islands","solomon-islands","0.00","2018 est.","167","Australia and Oceania"
"Spain","spain","0.00","2018 est.","168","Europe"
"Sri Lanka","sri-lanka","0.00","2018 est.","169","South Asia"
"Sudan","sudan","0.00","2018 est.","170","Africa"
"Suriname","suriname","0.00","2018 est.","171","South America"
"Sweden","sweden","0.00","2018 est.","172","Europe"
"Switzerland","switzerland","0.00","2018 est.","173","Europe"
"Timor-Leste","timor-leste","0.00","2018 est.","174","East and Southeast Asia"
"Togo","togo","0.00","2018 est.","175","Africa"
"Tonga","tonga","0.00","2018 est.","176","Australia and Oceania"
"Trinidad and Tobago","trinidad-and-tobago","0.00","2018 est.","177","Central America and the Caribbean"
"Tunisia","tunisia","0.00","2018 est.","178","Africa"
"Turkmenistan","turkmenistan","0.00","2018 est.","179","Central Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","0.00","2018 est.","180","Central America and the Caribbean"
"Uganda","uganda","0.00","2018 est.","181","Africa"
"United Arab Emirates","united-arab-emirates","0.00","2018 est.","182","Middle East"
"United Kingdom","united-kingdom","0.00","2018 est.","183","Europe"
"Uruguay","uruguay","0.00","2018 est.","184","South America"
"Vanuatu","vanuatu","0.00","2018 est.","185","Australia and Oceania"
"Yemen","yemen","0.00","2018 est.","186","Middle East"
